lg ss lm.cM len ch.cM pt.cM gb.cM ch13_1.cM ch13_2.cM
1 ss2 59.888 62994816 41.3557545968359 44.1880670806826 57.6976718827102 59.9675515365102 59.7627093229019
2 ss14 75.984 60520781 44.6924219136596 49.066023954091 63.5399847756393 56.6403503950083 56.4612290346549
3 ss6 85.051 56534680 43.7807592776821 55.1776994325243 57.8353559630743 56.7616015731209 56.5402070844949
4 ss40 79.1995 51327406 35.1901386052622 45.4576839087906 51.7931119430253 45.3324947359081 44.1669788353011
5 ss9 48.181 43766637 29.7382123561135 41.7830628699177 42.3676471063078 40.1256250354283 36.146332893859
6 ss38 44.445 42002052 26.8156824183808 37.9095261287848 33.1693839369929 36.3110765307901 32.7877552138061
7 ss1 73.1475 41834277 30.1849361416014 38.6737123467618 42.5760305007888 39.4976583860605 40.9046449333639
8 ss7 70.4705 44054830 32.9794986963622 46.3863749649899 48.0476204896369 40.290049333104 43.2944559391656
9 ss18 70.3865 35172814 27.8847459789823 37.797321591229 41.5544361842998 38.3821130281376 36.6617155894027
10 ss16 64.6325 34944653 26.4671054285551 36.7757351277258 39.5168070605343 37.940318199288 32.1116813472008
11 ss22 57.792 41455493 20.1177319241487 25.7403875436797 23.796007861831 26.6856218483146 25.016323563508
12 ss45 70.108 42642627 29.7788027517286 37.2779520490426 41.2362300047223 40.3665444363728 37.2955335318762
13 ss27 33.2475 33925083 17.3134984859221 15.8965036908874 16.2544502639463 19.5842517366768 20.3544224396492
14 ss1000006 87.0295 36032128 28.5878794026207 38.9659180170758 43.4148900673091 42.1582463380376 39.2289773915862
15 ss10 55.354 29985952 23.0728266537023 33.5502710830693 34.4704912744013 32.4620422243168 31.2751343910695
16 ss21 61.5035 23061809 22.2099427843333 21.5522659432136 31.2733996927438 29.8575425511593 29.4146138626617
17 ss48 63.0385 28624032 25.7916545028509 31.1811993790313 32.7741811559771 31.7626446370153 33.3013006058932
18 ss23 31.2925 30848580 22.975678129567 32.0840102498563 28.1906199687836 34.3217880367843 27.3747440177785
19 ss26 60.6625 24009840 21.2486613867159 31.5094644004096 27.953208111789 31.0508469318076 27.8917884444515
20 ss3 55.8435 20937722 21.1111973607416 31.9744783137968 29.7348917501368 31.0735718137711 32.0464055734004
20 ss49 55.8435 4323735 1.40599646482811 0.748528030029352 0.859170929239801 1.1740272734052 1.08574167219429
21 ss17 35.8795 23302321 25.9062107831197 26.1594962597624 28.8173899475121 29.1827977630946 37.4576161032308
22 ss8 51.252 25136324 22.0226560245961 32.8607922892718 29.0327077828161 32.139190366343 28.9804741992466
23 ss5 67.266 24525012 22.7064021480092 31.5433836300639 32.3818225503446 34.9173472535428 32.7264974133921
24 ss2.2 29.371 28692481 20.0274776562441 26.1238782324459 25.3043370872538 27.1468939510621 24.9674424663464
25 ss28 63.5755 21137564 18.2200688780714 27.6720752610389 27.6258238059629 26.7466561308851 25.995107523658
26 ss46 58.5145 18736733 23.200142540837 28.3749784423634 36.2873678248788 35.1506121505578 31.9184556881734
27 ss41 63.972 24601080 21.3000951833927 30.6721038812674 24.8731085306605 31.6502088770892 31.0453183679236
28 ss33 56.814 18160456 18.4425615672907 26.3112865902233 26.4679253908497 27.2931849694837 24.9133890113986
29 ss29 56.3215 14846335 20.3443649141925 31.3295268249305 30.59120663448 27.3993036100993 29.9648322336594
30 ss11 52.8185 13317354 18.4609152144334 18.060485582963 26.6454295198781 27.6955514110745 28.3545492801635
31 ss44 34.5425 17163611 14.4219286489715 19.2978191787561 23.3559407384069 19.2436499912675 19.4665746193218
32 ss39 56.0765 15349174 23.1840164545516 30.340731988063 28.3801462862108 26.8506514113769 28.1836250094021
33 ss19 61.4225 13532077 19.2064333666682 21.2791107633423 29.1506798181547 27.0913082457564 31.4006017746455
34 ss20000042 59.03 16068779 17.4615049984186 28.9656808447381 25.0494668459001 25.5720244363853 24.9083272818403
35 ss20 51.1215 11375373 22.510816895053 25.541725258434 23.2729064785591 25.9920064757654 26.7126495836401
36 ss30 50.011 7860098 17.1700920162027 25.8359899650944 23.3639632167874 24.3977255777598 24.6928549140934
37 ss32 46.134 9466668 14.1386396124466 23.7805785284201 38.7065071862361 21.8959192304728 20.5742787202455
38 ss12 51.096 7647940 15.1733788126908 19.7938604388101 18.0865901601852 23.3341412946394 22.564492873753
39 ss34 38.5515 6755002 15.2570279179041 22.0627969740733 23.0254617268253 20.2380488373593 22.0559233959294
