Old_name	New_name	Library_name	Population	Position_in_cluster	Genetic_sex_wgs	Read_count	Coverage	Bioproject	REF_Panel	Unrelated	In_lowcov	Comments	lon	lat
861530H	861530	861530H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/861530H/861530H.bam	1	430240251	36.352	NA	1	1	0		6.9144102144788	46.7703030453899
862783H	862783	862783H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/862783H/862783H.bam	2	358195247	32.8768	NA	1	1	0		6.90898786818808	46.8537047006285
868867B1	868867	P3_868867B1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_868867B1/868867B1.bam	1	164481330	16.6666	NA	1	1	0		6.88085980716096	46.7412065839802
871031H	871031	871031H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/871031H/871031H.bam	1	397467104	33.7349	NA	1	0	0		6.88922883155325	46.8381211496562
871960H	871960	871960H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/871960H/871960H.bam	1	379925531	33.6248	NA	1	0	0		6.9084311558208	46.8443454910351
875626H	875626	875626H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/875626H/875626H.bam	1	335865707	29.3849	NA	1	1	0		6.94635507000899	46.8434267974316
877004H	877004	877004H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877004H/877004H.bam	1	329112742	27.3487	NA	1	1	0		7.03291285104386	46.8904628863395
877125H	877125	877125H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877125H/877125H.bam	1	272587119	23.5698	NA	1	0	0		6.89650557874618	46.8770526244646
877175H	877175	877175H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877175H/877175H.bam	1	388133666	33.511	NA	1	0	0		6.88469	46.87809
877177H	877177	877177H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877177H/877177H.bam	2	295360962	26.0692	NA	1	0	0		6.88469	46.87809
877321H	877321	877321H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877321H/877321H.bam	1	476892471	39.1261	NA	1	0	0		6.90837346201792	46.8708203544548
877337H	877337	877337H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877337H/877337H.bam	2	404099591	33.3223	NA	1	0	0		7.13043372053794	46.9770498149603
877391H	877391	877391H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877391H/877391H.bam	2	324125758	27.9209	NA	1	1	1		7.13043372053794	46.9770498149603
877448A1	877448	P3_877448A1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_877448A1/877448A1.bam	2	105744197	10.6749	NA	1	0	0		6.84816427016967	46.7156742017986
877475E1	877475	P3_877475E1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_877475E1/P3_877475E1.bam	2	116183926	7.9909	NA	1	0	0		6.90898786818808	46.8537047006285
877511H	877511	877511H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877511H/877511H.bam	2	396186837	31.459	NA	1	0	0		6.92625743443526	46.8702091656185
877558H	877558	877558H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877558H/877558H.bam	2	309883049	24.3381	NA	1	1	0		6.84778562308615	46.8295912219986
877566H	877566	877566H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877566H/877566H.bam	2	419119146	34.7756	NA	1	1	0		6.86444763120679	46.8484702959729
877811H	877811	877811H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877811H/877811H.bam	1	288664339	25.0261	NA	1	0	0		6.88085980716096	46.7412065839802
877825F2	877825B	P3_877825F2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_877825F2/P3_877825F2.bam	1	137159479	9.6053	NA	0	0	0	DUP	6.88085980716096	46.7412065839802
877825H	877825	877825H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877825H/877825H.bam	1	307951247	25.6551	NA	1	0	0		6.99183146675281	46.8080731661794
877861H	877861	877861H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877861H/877861H.bam	1	375587124	31.584	NA	1	0	0		6.99183146675281	46.8080731661794
877921H	877921	877921H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877921H/877921H.bam	2	320107492	26.0214	NA	1	1	0		6.9084311558208	46.8443454910351
877922H	877922	877922H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877922H/877922H.bam	1	318572982	26.9109	NA	1	0	1		6.93471646292735	46.8262842225228
877925H	877925	877925H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877925H/877925H.bam	2	370721269	29.9775	NA	1	0	1		6.98977423512563	46.8546439682151
878735H	878735	878735H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/878735H/878735H.bam	2	377669096	32.778	NA	1	0	1		6.84778562308615	46.8295912219986
881115H	881115	881115H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/881115H/881115H.bam	2	276756404	22.7198	NA	1	1	1		6.88085980716096	46.7412065839802
883063H11	883063	P2_883063H11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_883063H11/883063H11.bam	2	128672830	13.7201	NA	1	1	0		6.93471646292735	46.8262842225228
889010D1	889010	P3_889010D1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_889010D1/889010D1.bam	1	348631266	37.6793	NA	1	0	0		6.98977423512563	46.8546439682151
889131H	889131	889131H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/889131H/889131H.bam	1	377203920	33.2846	NA	1	1	0		6.7200304252841	46.7812385205119
889182H	889182	889182H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/889182H/889182H.bam	1	377666580	30.8553	NA	1	1	0		7.059488322243	46.9465946958395
889183B12	889183	P2_889183B12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_889183B12/889183B12.bam	2	130763044	14.0264	NA	1	1	0		6.94083747654784	46.7914005521181
889252H	889252	889252H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/889252H/889252H.bam	1	415673888	34.7594	NA	1	1	1		6.99963554510414	46.9420816266729
889272E3	889272	P3_889272E3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_889272E3/889272E3.bam	1	163797288	17.368	NA	1	0	1		7.059488322243	46.9465946958395
889378C12	889378	P2_889378C12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_889378C12/889378C12.bam	1	128252202	13.9027	NA	1	1	0		6.96090251180602	46.8579182661176
889732E10	889732	P2_889732E10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_889732E10/889732E10.bam	1	125005528	13.5106	NA	1	0	0		6.94505648637344	46.795511845684
889746H3	889746	P3_889746H3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_889746H3/889746H3.bam	1	145265963	15.2869	NA	1	0	0		6.96090251180602	46.8579182661176
889771C1	889771	P3_889771C1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_889771C1/889771C1.bam	2	110560231	11.3614	NA	1	0	0		6.94505648637344	46.795511845684
892465E2	892465	P3_892465E2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_892465E2/P3_892465E2.bam	2	156227495	10.2806	NA	1	1	0		6.88922883155325	46.8381211496562
895274G2	895274	P2_895274G2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_895274G2/895274G2.bam	2	140487247	14.4587	NA	1	0	0		6.78180626726075	46.8119259586972
895818A4	895818	P3_895818A4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_895818A4/895818A4.bam	2	152270456	15.7393	NA	1	1	0		6.9572744865986	46.8339569917039
896669A12	896669	P2_896669A12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_896669A12/896669A12.bam	1	121018676	13.107	NA	1	1	0		7.01741910490642	46.8683321349841
898070D12	898070	P2_898070D12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_898070D12/P2_898070D12.bam	2	124397566	10.6548	NA	1	0	0		6.81952324811699	46.8363347607575
898071G12	898071	P2_898071G12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_898071G12/P2_898071G12.bam	2	157926102	12.2296	NA	1	0	0		6.78180626726075	46.8119259586972
