lg	ss
1	Super-Scaffold_2
2	Super-Scaffold_14
3	Super-Scaffold_6
4	Super-Scaffold_40
5	Super-Scaffold_9
6	Super-Scaffold_38
7	Super-Scaffold_1
8	Super-Scaffold_7
9	Super-Scaffold_18
10	Super-Scaffold_16
11	Super-Scaffold_22
12	Super-Scaffold_45
13	Super-Scaffold_27
14	Super-Scaffold_1000006
15	Super-Scaffold_10
16	Super-Scaffold_21
17	Super-Scaffold_48
18	Super-Scaffold_23
19	Super-Scaffold_26
20	Super-Scaffold_3
20	Super-Scaffold_49
21	Super-Scaffold_17
22	Super-Scaffold_8
23	Super-Scaffold_5
24	Super-Scaffold_2
25	Super-Scaffold_28
26	Super-Scaffold_46
27	Super-Scaffold_41
28	Super-Scaffold_33
29	Super-Scaffold_29
30	Super-Scaffold_11
31	Super-Scaffold_44
32	Super-Scaffold_39
33	Super-Scaffold_19
34	Super-Scaffold_20000042
35	Super-Scaffold_20
36	Super-Scaffold_30
37	Super-Scaffold_32
38	Super-Scaffold_12
39	Super-Scaffold_34
42	Super-Scaffold_4
48	Super-Scaffold_100000100064
48	Super-Scaffold_200000178
49	Super-Scaffold_25
52	Super-Scaffold_24
55	Super-Scaffold_100000100078
