Old_Name	New_Name
Super-Scaffold_1.fasta	Tytoalba_H0-AT_Chr1
Super-Scaffold_10.fasta	Tytoalba_H0-AT_Chr2
Super-Scaffold_1000006.fasta	Tytoalba_H0-AT_Chr3
Super-Scaffold_11.fasta	Tytoalba_H0-AT_Chr4
Super-Scaffold_12.fasta	Tytoalba_H0-AT_Chr5
Super-Scaffold_13.fasta	Tytoalba_H0-AT_Chr6
Super-Scaffold_14.fasta	Tytoalba_H0-AT_Chr7
Super-Scaffold_15.fasta	Tytoalba_H0-AT_Chr8
Super-Scaffold_16.fasta	Tytoalba_H0-AT_Chr9
Super-Scaffold_17.fasta	Tytoalba_H0-AT_Chr10
Super-Scaffold_18.fasta	Tytoalba_H0-AT_Chr11
Super-Scaffold_19.fasta	Tytoalba_H0-AT_Chr12
Super-Scaffold_2.fasta	Tytoalba_H0-AT_Chr13
Super-Scaffold_20.fasta	Tytoalba_H0-AT_Chr14
Super-Scaffold_20000042.fasta	Tytoalba_H0-AT_Chr15
Super-Scaffold_21.fasta	Tytoalba_H0-AT_Chr16
Super-Scaffold_22.fasta	Tytoalba_H0-AT_Chr17
Super-Scaffold_23.fasta	Tytoalba_H0-AT_Chr18
Super-Scaffold_26.fasta	Tytoalba_H0-AT_Chr19
Super-Scaffold_27.fasta	Tytoalba_H0-AT_Chr20
Super-Scaffold_28.fasta	Tytoalba_H0-AT_Chr21
Super-Scaffold_29.fasta	Tytoalba_H0-AT_Chr22
Super-Scaffold_3.fasta	Tytoalba_H0-AT_Chr23
Super-Scaffold_30.fasta	Tytoalba_H0-AT_Chr24
Super-Scaffold_32.fasta	Tytoalba_H0-AT_Chr25
Super-Scaffold_33.fasta	Tytoalba_H0-AT_Chr26
Super-Scaffold_34.fasta	Tytoalba_H0-AT_Chr27
Super-Scaffold_38.fasta	Tytoalba_H0-AT_Chr28
Super-Scaffold_39.fasta	Tytoalba_H0-AT_Chr29
Super-Scaffold_40.fasta	Tytoalba_H0-AT_Chr30
Super-Scaffold_41.fasta	Tytoalba_H0-AT_Chr31
Super-Scaffold_42.fasta	Tytoalba_H0-AT_Chr32
Super-Scaffold_44.fasta	Tytoalba_H0-AT_Chr33
Super-Scaffold_45.fasta	Tytoalba_H0-AT_Chr34
Super-Scaffold_46.fasta	Tytoalba_H0-AT_Chr35
Super-Scaffold_48.fasta	Tytoalba_H0-AT_Chr36
Super-Scaffold_5.fasta	Tytoalba_H0-AT_Chr37
Super-Scaffold_6.fasta	Tytoalba_H0-AT_Chr38
Super-Scaffold_7.fasta	Tytoalba_H0-AT_Chr39
Super-Scaffold_8.fasta	Tytoalba_H0-AT_Chr40
Super-Scaffold_9.fasta	Tytoalba_H0-AT_Chr41
